iter	Passed	Remaining
0	142	142036
1	142	71203
2	143	47567
3	143	35732
4	143	28628
5	144	23893
6	144	20515
7	144	17977
8	145	16002
9	145	14423
10	146	13134
11	146	12058
12	146	11149
13	147	10372
14	147	9698
15	148	9110
16	148	8587
17	148	8123
18	149	7707
19	149	7332
20	150	6992
21	150	6684
22	150	6404
23	151	6145
24	151	5909
25	151	5690
26	152	5488
27	152	5300
28	153	5125
29	153	4961
30	153	4808
31	154	4666
32	154	4533
33	155	4408
34	155	4288
35	155	4175
36	156	4068
37	156	3967
38	157	3871
39	157	3780
40	157	3693
41	158	3611
42	158	3532
43	159	3456
44	159	3384
45	159	3315
46	160	3248
47	160	3185
48	160	3123
49	161	3066
50	161	3009
51	162	2954
52	162	2903
53	162	2853
54	163	2804
55	163	2758
56	164	2713
57	164	2669
58	164	2627
59	165	2587
60	165	2547
61	165	2509
62	166	2472
63	166	2437
64	167	2404
65	167	2371
66	168	2347
67	169	2316
68	169	2285
69	169	2255
70	170	2225
71	170	2196
72	170	2168
73	171	2141
74	171	2115
75	171	2089
76	172	2064
77	172	2039
78	172	2016
79	173	1993
80	173	1971
81	174	1949
82	174	1927
83	174	1906
84	175	1886
85	175	1866
86	175	1846
87	176	1827
88	176	1808
89	177	1789
90	177	1771
91	177	1754
92	178	1736
93	178	1719
94	178	1703
95	179	1686
96	179	1671
97	179	1655
98	180	1640
99	180	1625
100	181	1611
101	181	1596
102	181	1583
103	182	1570
104	182	1557
105	183	1544
106	183	1532
107	184	1520
108	184	1507
109	184	1495
110	185	1483
111	185	1472
112	186	1460
113	186	1448
114	186	1437
115	187	1426
116	187	1414
117	187	1403
118	188	1392
119	188	1382
120	188	1371
121	189	1361
122	189	1351
123	189	1341
124	190	1331
125	190	1322
126	190	1312
127	191	1302
128	191	1293
129	191	1284
130	192	1275
131	192	1267
132	193	1258
133	193	1250
134	193	1242
135	194	1233
136	194	1225
137	194	1218
138	195	1210
139	195	1202
140	196	1194
141	196	1186
142	196	1179
143	197	1172
144	197	1166
145	198	1159
146	198	1151
147	198	1144
148	199	1138
149	199	1131
150	200	1124
151	200	1117
152	200	1111
153	201	1104
154	201	1098
155	201	1091
156	202	1085
157	202	1079
158	202	1072
159	203	1066
160	203	1060
161	203	1054
162	204	1048
163	204	1042
164	204	1036
165	205	1031
166	205	1025
167	205	1019
168	206	1014
169	206	1009
170	207	1003
171	207	998
172	207	993
173	208	988
174	208	982
175	208	977
176	209	972
177	209	967
178	209	962
179	210	958
180	210	953
181	211	948
182	211	944
183	211	939
184	212	935
185	212	930
186	213	926
187	213	921
188	213	917
189	214	912
190	214	908
191	214	903
192	215	899
193	215	895
194	215	891
195	216	887
196	216	882
197	216	878
198	217	874
199	217	870
200	218	866
201	218	862
202	218	858
203	219	854
204	219	851
205	219	847
206	220	843
207	220	839
208	220	836
209	221	832
210	221	828
211	221	825
212	222	821
213	222	818
214	223	814
215	223	810
216	223	807
217	224	804
218	224	800
219	224	797
220	225	793
221	225	790
222	225	787
223	226	784
224	226	781
225	227	778
226	227	775
227	228	772
228	228	769
229	228	766
230	229	763
231	229	760
232	229	756
233	230	754
234	230	750
235	231	747
236	231	744
237	231	741
238	232	738
239	232	736
240	232	733
241	233	730
242	233	727
243	234	725
244	234	722
245	234	719
246	235	716
247	235	714
248	235	711
249	236	708
250	236	705
251	236	703
252	237	700
253	237	697
254	237	695
255	238	692
256	238	690
257	239	687
258	239	685
259	239	682
260	240	680
261	240	677
262	241	675
263	241	672
264	241	670
265	242	668
266	242	666
267	242	663
268	243	661
269	243	659
270	244	656
271	244	654
272	244	652
273	245	650
274	245	647
275	246	645
276	246	643
277	246	641
278	247	638
279	247	636
280	247	634
281	248	632
282	248	630
283	249	627
284	249	625
285	249	623
286	250	621
287	250	619
288	250	617
289	251	614
290	251	612
291	251	610
292	252	608
293	252	606
294	253	604
295	253	602
296	253	600
297	254	598
298	254	596
299	254	594
300	255	593
301	255	591
302	256	589
303	256	587
304	257	585
305	257	583
306	257	581
307	258	579
308	258	578
309	258	576
310	259	574
311	259	572
312	259	570
313	260	568
314	260	566
315	260	564
316	261	563
317	261	561
318	262	559
319	262	557
320	262	555
321	263	554
322	263	552
323	263	550
324	264	548
325	264	547
326	265	545
327	265	543
328	265	542
329	266	540
330	266	538
331	266	536
332	267	535
333	267	533
334	267	531
335	268	530
336	268	528
337	269	526
338	269	525
339	269	523
340	270	521
341	270	520
342	270	518
343	271	517
344	271	515
345	272	514
346	272	512
347	272	511
348	273	509
349	273	507
350	273	506
351	274	504
352	274	503
353	275	501
354	275	500
355	275	498
356	276	497
357	276	495
358	276	494
359	277	492
360	277	491
361	278	489
362	278	488
363	278	487
364	279	485
365	279	484
366	279	482
367	280	481
368	280	479
369	281	478
370	281	477
371	281	475
372	282	474
373	282	473
374	283	471
375	283	470
376	283	468
377	284	467
378	284	466
379	284	464
380	285	463
381	285	461
382	285	460
383	286	459
384	286	458
385	287	456
386	287	455
387	287	454
388	288	452
389	288	451
390	289	450
391	289	448
392	289	447
393	290	446
394	290	444
395	290	443
396	291	442
397	291	440
398	291	439
399	292	438
400	292	437
401	293	435
402	293	434
403	293	433
404	294	432
405	294	430
406	294	429
407	295	428
408	295	427
409	295	425
410	296	424
411	296	423
412	297	422
413	297	421
414	297	419
415	298	418
416	298	417
417	298	416
418	299	415
419	299	413
420	300	412
421	300	411
422	300	410
423	301	409
424	301	408
425	302	407
426	302	405
427	302	404
428	303	403
429	303	402
430	303	401
431	304	400
432	304	398
433	304	397
434	305	396
435	305	395
436	306	394
437	306	393
438	306	392
439	307	390
440	307	389
441	307	388
442	308	387
443	308	386
444	309	385
445	309	384
446	309	383
447	310	382
448	310	381
449	310	379
450	311	378
451	311	377
452	311	376
453	312	375
454	312	374
455	313	373
456	313	372
457	313	371
458	314	370
459	314	369
460	314	368
461	315	366
462	315	365
463	315	364
464	316	363
465	316	362
466	317	361
467	317	360
468	317	359
469	318	358
470	318	357
471	318	356
472	319	355
473	319	354
474	319	353
475	320	352
476	320	351
477	320	350
478	321	349
479	321	348
480	321	347
481	322	346
482	322	345
483	322	344
484	323	343
485	323	342
486	324	341
487	324	340
488	324	339
489	325	338
490	325	337
491	325	336
492	326	335
493	326	334
494	326	333
495	327	332
496	327	331
497	328	330
498	328	329
499	328	328
500	329	327
501	329	326
502	329	325
503	330	324
504	330	323
505	330	322
506	331	321
507	331	321
508	332	320
509	332	319
510	332	318
511	333	317
512	333	316
513	333	315
514	334	314
515	334	313
516	334	312
517	335	312
518	335	311
519	336	310
520	336	309
521	336	308
